Calibration_1,AccX_1,AccY_1,AccZ_1,Roll_1,Pitch_1,Yaw_1,QuatW_1,QuatX_1,QuatY_1,QuatZ_1,Calibration_2,AccX_2,AccY_2,AccZ_2,Roll_2,Pitch_2,Yaw_2,QuatW_2,QuatX_2,QuatY_2,QuatZ_2
0.0,7.69,3.19,6.56,7.69,3.19,6.56,1.0,-0.06,-0.02,-0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,7.38,3.25,6.38,7.38,3.25,6.38,1.0,-0.06,-0.03,-0.06,0.0,0.5,0.0,-0.06,0.5,0.0,-0.06,1.0,0.0,-0.0,-0.01
0.0,7.19,3.13,5.94,7.19,3.13,5.94,1.0,-0.05,-0.02,-0.06,0.0,0.75,0.0,-0.06,0.75,0.0,-0.06,1.0,0.0,0.0,-0.01
0.0,6.88,2.69,5.25,6.88,2.69,5.25,1.0,-0.05,-0.02,-0.06,0.0,1.0,-0.06,0.06,1.0,-0.06,0.06,1.0,-0.0,0.0,-0.01
0.0,6.56,2.63,5.19,6.56,2.63,5.19,1.0,-0.05,-0.02,-0.06,0.0,1.44,0.12,0.31,1.44,0.12,0.31,1.0,-0.0,-0.0,-0.02
0.0,6.25,3.5,6.5,6.25,3.5,6.5,1.0,-0.06,-0.03,-0.05,0.0,2.13,0.69,0.88,2.13,0.69,0.88,1.0,-0.01,-0.01,-0.02
0.0,5.75,5.13,9.0,5.75,5.13,9.0,0.99,-0.08,-0.04,-0.05,0.0,2.31,1.06,1.0,2.31,1.06,1.0,1.0,-0.01,-0.01,-0.02
0.0,5.38,6.38,10.88,5.38,6.38,10.88,0.99,-0.1,-0.06,-0.04,0.0,2.19,1.19,0.63,2.19,1.19,0.63,1.0,-0.01,-0.01,-0.02
0.0,4.75,8.13,13.38,4.75,8.13,13.38,0.99,-0.12,-0.07,-0.04,0.0,2.19,1.12,0.25,2.19,1.12,0.25,1.0,-0.0,-0.01,-0.02
0.0,4.19,9.31,15.06,4.19,9.31,15.06,0.99,-0.14,-0.08,-0.03,0.0,2.0,1.0,0.12,2.0,1.0,0.12,1.0,-0.0,-0.01,-0.02
0.0,3.44,9.63,15.56,3.44,9.63,15.56,0.99,-0.14,-0.08,-0.03,0.0,1.94,1.0,-0.12,1.94,1.0,-0.12,1.0,0.0,-0.01,-0.02
0.0,2.75,9.13,14.75,2.75,9.13,14.75,0.99,-0.13,-0.08,-0.02,0.0,2.06,1.19,-0.44,2.06,1.19,-0.44,1.0,0.0,-0.01,-0.02
0.0,2.31,8.44,13.88,2.31,8.44,13.88,0.99,-0.12,-0.07,-0.02,0.0,2.06,1.0,-0.44,2.06,1.0,-0.44,1.0,0.0,-0.01,-0.02
