Calibration_1,AccX_1,AccY_1,AccZ_1,Roll_1,Pitch_1,Yaw_1,QuatW_1,QuatX_1,QuatY_1,QuatZ_1,Calibration_2,AccX_2,AccY_2,AccZ_2,Roll_2,Pitch_2,Yaw_2,QuatW_2,QuatX_2,QuatY_2,QuatZ_2
0.0,85.25,26.56,153.19,85.25,26.56,153.19,0.32,-0.64,-0.7,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,85.25,26.62,153.13,85.25,26.62,153.13,0.32,-0.64,-0.7,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,0.0,-0.0
0.0,85.25,26.62,153.19,85.25,26.62,153.19,0.32,-0.64,-0.7,-0.0,0.0,359.88,-0.12,0.0,359.88,-0.12,0.0,1.0,-0.0,0.0,0.0
0.0,85.19,26.56,153.19,85.19,26.56,153.19,0.32,-0.64,-0.7,-0.0,0.0,0.0,-0.06,0.0,0.0,-0.06,0.0,1.0,0.0,0.0,-0.0
0.0,85.19,26.56,153.19,85.19,26.56,153.19,0.32,-0.64,-0.7,-0.0,0.0,0.0,-0.06,0.0,0.0,-0.06,0.0,1.0,-0.0,0.0,-0.0
0.0,85.25,26.56,153.19,85.25,26.56,153.19,0.32,-0.64,-0.7,-0.0,0.0,359.94,46.25,4.19,359.94,46.25,4.19,0.92,-0.03,-0.39,0.0
0.0,85.19,26.56,153.19,85.19,26.56,153.19,0.32,-0.64,-0.7,-0.0,0.0,359.94,46.25,4.19,359.94,46.25,4.19,0.92,-0.03,-0.39,0.0
0.0,85.19,26.56,153.13,85.19,26.56,153.13,0.32,-0.64,-0.7,-0.0,0.0,359.94,46.19,4.19,359.94,46.19,4.19,0.92,-0.03,-0.39,0.0
0.0,85.25,26.5,153.13,85.25,26.5,153.13,0.32,-0.64,-0.7,-0.0,0.0,359.94,46.25,4.19,359.94,46.25,4.19,0.92,-0.03,-0.39,0.0
0.0,85.25,26.56,153.13,85.25,26.56,153.13,0.32,-0.64,-0.7,-0.0,0.0,0.0,46.19,4.13,0.0,46.19,4.13,0.92,-0.03,-0.39,-0.0
0.0,85.25,26.44,153.13,85.25,26.44,153.13,0.32,-0.64,-0.7,-0.0,0.0,359.94,46.13,4.19,359.94,46.13,4.19,0.92,-0.03,-0.39,0.0
0.0,85.25,26.44,153.13,85.25,26.44,153.13,0.32,-0.64,-0.7,-0.0,0.0,359.94,46.13,4.19,359.94,46.13,4.19,0.92,-0.03,-0.39,0.0
