Calibration_1,AccX_1,AccY_1,AccZ_1,Roll_1,Pitch_1,Yaw_1,QuatW_1,QuatX_1,QuatY_1,QuatZ_1,Calibration_2,AccX_2,AccY_2,AccZ_2,Roll_2,Pitch_2,Yaw_2,QuatW_2,QuatX_2,QuatY_2,QuatZ_2
0.0,359.75,49.75,4.81,359.75,49.75,4.81,0.91,-0.03,-0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,359.81,49.88,4.94,359.81,49.88,4.94,0.91,-0.03,-0.42,0.0,0.0,0.0,0.12,0.06,0.0,0.12,0.06,1.0,-0.0,-0.0,-0.0
0.0,359.81,50.0,5.06,359.81,50.0,5.06,0.91,-0.03,-0.42,0.0,0.0,0.06,0.19,0.12,0.06,0.19,0.12,1.0,-0.0,-0.0,-0.0
0.0,359.88,50.19,5.31,359.88,50.19,5.31,0.9,-0.03,-0.43,0.0,0.0,0.0,-81.31,-121.62,0.0,-81.31,-121.62,0.68,0.09,0.73,-0.0
0.0,359.94,50.31,5.5,359.94,50.31,5.5,0.9,-0.03,-0.43,0.0,0.0,0.0,-81.44,-121.25,0.0,-81.44,-121.25,0.68,0.09,0.73,-0.0
0.0,359.94,50.44,5.63,359.94,50.44,5.63,0.9,-0.03,-0.43,0.0,0.0,0.0,-81.5,-121.06,0.0,-81.5,-121.06,0.68,0.09,0.73,-0.0
0.0,359.94,50.5,5.75,359.94,50.5,5.75,0.9,-0.04,-0.43,0.0,0.0,359.81,-81.5,-121.19,359.81,-81.5,-121.19,0.68,0.09,0.73,0.0
0.0,359.94,50.5,5.69,359.94,50.5,5.69,0.9,-0.03,-0.43,0.0,0.0,359.56,-81.44,-121.56,359.56,-81.44,-121.56,0.68,0.09,0.73,0.0
0.0,359.94,50.38,5.63,359.94,50.38,5.63,0.9,-0.03,-0.43,0.0,0.0,359.44,-81.31,-121.87,359.44,-81.31,-121.87,0.68,0.09,0.73,0.0
0.0,359.94,50.25,5.56,359.94,50.25,5.56,0.9,-0.03,-0.42,0.0,0.0,359.44,-81.31,-121.81,359.44,-81.31,-121.81,0.68,0.09,0.73,0.0
0.0,359.94,50.19,5.5,359.94,50.19,5.5,0.9,-0.03,-0.42,0.0,0.0,359.56,-81.5,-121.19,359.56,-81.5,-121.19,0.68,0.09,0.73,0.0
