Calibration_1,AccX_1,AccY_1,AccZ_1,Roll_1,Pitch_1,Yaw_1,QuatW_1,QuatX_1,QuatY_1,QuatZ_1,Calibration_2,AccX_2,AccY_2,AccZ_2,Roll_2,Pitch_2,Yaw_2,QuatW_2,QuatX_2,QuatY_2,QuatZ_2
0.0,358.81,72.75,168.75,358.81,72.75,168.75,0.6,-0.04,-0.8,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,358.69,72.69,168.75,358.69,72.69,168.75,0.6,-0.04,-0.8,0.01,0.0,0.0,0.0,0.06,0.0,0.0,0.06,1.0,-0.0,-0.0,-0.0
0.0,358.63,72.62,168.69,358.63,72.62,168.69,0.59,-0.04,-0.8,0.01,0.0,0.0,0.0,0.06,0.0,0.0,0.06,1.0,-0.0,0.0,-0.0
0.0,358.69,72.62,168.63,358.69,72.62,168.63,0.6,-0.04,-0.8,0.01,0.0,0.12,46.31,-100.81,0.12,46.31,-100.81,0.66,0.51,-0.55,-0.0
0.0,358.69,72.69,168.63,358.69,72.69,168.63,0.6,-0.04,-0.8,0.01,0.0,0.12,46.19,-101.0,0.12,46.19,-101.0,0.66,0.51,-0.55,-0.0
0.0,358.63,72.62,168.5,358.63,72.62,168.5,0.59,-0.04,-0.8,0.01,0.0,0.12,46.25,-100.81,0.12,46.25,-100.81,0.66,0.51,-0.55,-0.0
0.0,358.44,72.56,168.31,358.44,72.56,168.31,0.59,-0.04,-0.8,0.01,0.0,0.12,46.19,-100.75,0.12,46.19,-100.75,0.66,0.51,-0.55,-0.0
0.0,358.44,72.69,168.19,358.44,72.69,168.19,0.6,-0.04,-0.8,0.01,0.0,0.12,46.25,-100.62,0.12,46.25,-100.62,0.66,0.51,-0.55,-0.0
0.0,358.38,72.69,168.19,358.38,72.69,168.19,0.6,-0.04,-0.8,0.01,0.0,0.06,46.25,-100.5,0.06,46.25,-100.5,0.66,0.51,-0.55,-0.0
0.0,358.38,72.75,168.13,358.38,72.75,168.13,0.6,-0.04,-0.8,0.01,0.0,0.12,46.25,-100.69,0.12,46.25,-100.69,0.66,0.51,-0.55,-0.0
0.0,358.25,72.75,168.13,358.25,72.75,168.13,0.6,-0.04,-0.8,0.01,0.0,0.31,46.13,-100.87,0.31,46.13,-100.87,0.66,0.51,-0.55,-0.0
0.0,358.25,72.56,167.81,358.25,72.56,167.81,0.59,-0.04,-0.8,0.01,0.0,0.19,46.19,-100.81,0.19,46.19,-100.81,0.66,0.51,-0.55,-0.0
0.0,358.25,72.62,167.69,358.25,72.62,167.69,0.6,-0.04,-0.8,0.01,0.0,0.19,46.19,-100.69,0.19,46.19,-100.69,0.66,0.51,-0.55,-0.0
0.0,358.13,72.75,167.75,358.13,72.75,167.75,0.6,-0.04,-0.8,0.01,0.0,0.12,46.25,-100.62,0.12,46.25,-100.62,0.66,0.51,-0.55,-0.0
0.0,358.13,72.75,167.75,358.13,72.75,167.75,0.6,-0.04,-0.8,0.01,0.0,0.19,46.19,-100.62,0.19,46.19,-100.62,0.66,0.51,-0.55,-0.0
0.0,358.13,72.62,167.56,358.13,72.62,167.56,0.59,-0.04,-0.8,0.01,0.0,0.19,46.25,-100.56,0.19,46.25,-100.56,0.66,0.51,-0.55,-0.0
0.0,357.94,72.56,167.5,357.94,72.56,167.5,0.59,-0.04,-0.8,0.01,0.0,0.12,46.25,-100.56,0.12,46.25,-100.56,0.66,0.51,-0.55,-0.0
0.0,358.0,72.69,167.75,358.0,72.69,167.75,0.6,-0.04,-0.8,0.01,0.0,0.19,46.19,-100.56,0.19,46.19,-100.56,0.66,0.51,-0.55,-0.0
0.0,358.13,72.69,167.63,358.13,72.69,167.63,0.6,-0.04,-0.8,0.01,0.0,0.19,46.19,-100.62,0.19,46.19,-100.62,0.66,0.51,-0.55,-0.0
0.0,358.13,72.81,167.56,358.13,72.81,167.56,0.6,-0.04,-0.8,0.01,0.0,0.19,46.13,-100.62,0.19,46.13,-100.62,0.66,0.51,-0.55,-0.0
0.0,358.06,72.94,167.63,358.06,72.94,167.63,0.6,-0.04,-0.8,0.01,0.0,0.12,46.19,-100.25,0.12,46.19,-100.25,0.66,0.51,-0.55,-0.0
0.0,358.44,73.0,167.94,358.44,73.0,167.94,0.6,-0.04,-0.8,0.01,0.0,0.06,46.13,-100.25,0.06,46.13,-100.25,0.66,0.51,-0.55,-0.0
0.0,358.63,73.25,167.88,358.63,73.25,167.88,0.6,-0.04,-0.8,0.01,0.0,359.94,46.13,-100.25,359.94,46.13,-100.25,0.66,0.51,-0.54,0.0
0.0,358.94,74.06,170.0,358.94,74.06,170.0,0.6,-0.03,-0.8,0.01,0.0,359.94,46.19,-100.06,359.94,46.19,-100.06,0.66,0.51,-0.55,-0.0
