Calibration_1,AccX_1,AccY_1,AccZ_1,Roll_1,Pitch_1,Yaw_1,QuatW_1,QuatX_1,QuatY_1,QuatZ_1,Calibration_2,AccX_2,AccY_2,AccZ_2,Roll_2,Pitch_2,Yaw_2,QuatW_2,QuatX_2,QuatY_2,QuatZ_2
0.0,0.12,44.69,113.87,0.12,44.69,113.87,0.6,-0.55,-0.59,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.19,44.63,113.94,0.19,44.63,113.94,0.6,-0.55,-0.59,-0.0,0.0,0.0,-0.06,0.0,0.0,-0.06,0.0,1.0,-0.0,0.0,-0.0
0.0,0.12,44.63,114.0,0.12,44.63,114.0,0.6,-0.55,-0.59,-0.0,0.0,0.0,-0.06,0.0,0.0,-0.06,0.0,1.0,-0.0,0.0,-0.0
0.0,0.19,44.63,114.06,0.19,44.63,114.06,0.6,-0.55,-0.59,-0.0,0.0,0.06,58.75,-40.88,0.06,58.75,-40.88,0.83,0.2,-0.51,-0.0
0.0,0.12,44.56,114.0,0.12,44.56,114.0,0.6,-0.55,-0.59,-0.0,0.0,0.06,58.69,-40.88,0.06,58.69,-40.88,0.83,0.2,-0.51,-0.0
0.0,0.12,44.63,113.94,0.12,44.63,113.94,0.6,-0.55,-0.59,-0.0,0.0,0.06,58.69,-40.81,0.06,58.69,-40.81,0.83,0.2,-0.51,-0.0
0.0,0.12,44.63,113.94,0.12,44.63,113.94,0.6,-0.55,-0.59,-0.0,0.0,0.12,58.63,-40.81,0.12,58.63,-40.81,0.83,0.2,-0.51,-0.0
0.0,0.06,44.56,114.0,0.06,44.56,114.0,0.6,-0.55,-0.59,-0.0,0.0,0.12,58.63,-40.81,0.12,58.63,-40.81,0.83,0.2,-0.51,-0.0
0.0,0.0,44.56,114.0,0.0,44.56,114.0,0.6,-0.55,-0.59,-0.0,0.0,0.12,58.63,-40.81,0.12,58.63,-40.81,0.83,0.2,-0.51,-0.0
0.0,0.06,44.56,114.0,0.06,44.56,114.0,0.6,-0.55,-0.59,-0.0,0.0,0.12,58.63,-40.75,0.12,58.63,-40.75,0.83,0.2,-0.51,-0.0
0.0,0.06,44.5,114.06,0.06,44.5,114.06,0.6,-0.55,-0.59,-0.0,0.0,0.12,58.56,-40.63,0.12,58.56,-40.63,0.84,0.2,-0.51,-0.0
0.0,0.06,44.56,114.0,0.06,44.56,114.0,0.6,-0.55,-0.59,-0.0,0.0,0.12,58.56,-40.44,0.12,58.56,-40.44,0.84,0.2,-0.51,-0.0
0.0,0.12,44.63,113.94,0.12,44.63,113.94,0.6,-0.55,-0.59,-0.0,0.0,0.12,58.5,-40.44,0.12,58.5,-40.44,0.84,0.2,-0.51,-0.0
0.0,0.06,44.56,113.94,0.06,44.56,113.94,0.6,-0.55,-0.59,-0.0,0.0,0.12,58.5,-40.31,0.12,58.5,-40.31,0.84,0.2,-0.51,-0.0
0.0,0.06,44.69,113.87,0.06,44.69,113.87,0.6,-0.55,-0.59,-0.0,0.0,0.12,58.44,-40.19,0.12,58.44,-40.19,0.84,0.2,-0.51,-0.0
0.0,0.19,44.63,114.0,0.19,44.63,114.0,0.6,-0.55,-0.59,-0.0,0.0,0.12,58.44,-40.0,0.12,58.44,-40.0,0.84,0.2,-0.51,-0.0
0.0,0.12,44.56,114.31,0.12,44.56,114.31,0.59,-0.55,-0.59,-0.0,0.0,0.06,58.38,-39.88,0.06,58.38,-39.88,0.84,0.2,-0.51,-0.0
0.0,0.12,44.56,114.37,0.12,44.56,114.37,0.59,-0.55,-0.59,-0.0,0.0,0.06,58.38,-40.0,0.06,58.38,-40.0,0.84,0.2,-0.51,-0.0
0.0,0.25,44.63,114.12,0.25,44.63,114.12,0.6,-0.55,-0.59,-0.0,0.0,0.12,58.38,-39.88,0.12,58.38,-39.88,0.84,0.2,-0.51,-0.0
0.0,0.37,44.94,113.81,0.37,44.94,113.81,0.6,-0.54,-0.59,-0.0,0.0,0.06,58.44,-39.81,0.06,58.44,-39.81,0.84,0.2,-0.51,-0.0
0.0,0.69,45.44,114.25,0.69,45.44,114.25,0.59,-0.54,-0.6,-0.0,0.0,0.31,58.69,-40.38,0.31,58.69,-40.38,0.83,0.2,-0.51,-0.0
0.0,0.88,45.25,116.31,0.88,45.25,116.31,0.59,-0.54,-0.6,-0.0,0.0,0.5,59.0,-41.0,0.5,59.0,-41.0,0.83,0.2,-0.52,-0.01
0.0,1.37,45.13,118.94,1.37,45.13,118.94,0.57,-0.55,-0.61,-0.01,0.0,1.06,59.44,-42.13,1.06,59.44,-42.13,0.83,0.2,-0.52,-0.01
0.0,3.56,46.31,121.81,3.56,46.31,121.81,0.56,-0.54,-0.62,-0.02,0.0,1.69,60.19,-43.56,1.69,60.19,-43.56,0.82,0.2,-0.53,-0.01
0.0,6.44,47.63,122.31,6.44,47.63,122.31,0.56,-0.54,-0.62,-0.03,0.0,2.44,60.94,-45.06,2.44,60.94,-45.06,0.82,0.2,-0.54,-0.02
0.0,8.63,50.31,121.81,8.63,50.31,121.81,0.58,-0.51,-0.63,-0.05,0.0,2.94,61.44,-45.19,2.94,61.44,-45.19,0.82,0.19,-0.54,-0.02
0.0,12.88,53.88,121.69,12.88,53.88,121.69,0.58,-0.5,-0.64,-0.08,0.0,3.38,61.81,-45.56,3.38,61.81,-45.56,0.81,0.19,-0.55,-0.03
0.0,20.75,58.69,122.31,20.75,58.69,122.31,0.6,-0.49,-0.62,-0.13,0.0,4.06,62.5,-46.63,4.06,62.5,-46.63,0.81,0.19,-0.56,-0.03
0.0,26.25,61.44,111.94,26.25,61.44,111.94,0.63,-0.48,-0.58,-0.15,0.0,4.5,62.94,-46.69,4.5,62.94,-46.69,0.81,0.18,-0.56,-0.03
0.0,28.12,65.31,106.44,28.12,65.31,106.44,0.64,-0.45,-0.6,-0.16,0.0,4.81,63.38,-46.44,4.81,63.38,-46.44,0.81,0.18,-0.56,-0.04
0.0,31.44,68.12,107.87,31.44,68.12,107.87,0.64,-0.45,-0.59,-0.19,0.0,5.38,64.06,-47.63,5.38,64.06,-47.63,0.8,0.17,-0.57,-0.04
0.0,37.06,68.62,103.56,37.06,68.62,103.56,0.64,-0.47,-0.56,-0.22,0.0,5.69,64.75,-48.31,5.69,64.75,-48.31,0.8,0.17,-0.57,-0.04
0.0,39.44,70.31,102.94,39.44,70.31,102.94,0.64,-0.45,-0.58,-0.23,0.0,6.13,65.12,-47.63,6.13,65.12,-47.63,0.8,0.16,-0.58,-0.04
0.0,41.31,73.44,105.62,41.31,73.44,105.62,0.64,-0.44,-0.59,-0.24,0.0,6.88,65.75,-48.25,6.88,65.75,-48.25,0.8,0.16,-0.58,-0.05
0.0,46.38,75.44,103.44,46.38,75.44,103.44,0.63,-0.44,-0.58,-0.27,0.0,7.5,66.44,-48.88,7.5,66.44,-48.88,0.79,0.15,-0.59,-0.05
0.0,49.31,74.94,98.81,49.31,74.94,98.81,0.63,-0.46,-0.56,-0.29,0.0,7.94,66.87,-48.38,7.94,66.87,-48.38,0.79,0.14,-0.59,-0.05
0.0,50.44,75.69,106.44,50.44,75.69,106.44,0.62,-0.46,-0.57,-0.29,0.0,8.25,67.0,-48.25,8.25,67.0,-48.25,0.79,0.14,-0.59,-0.06
0.0,51.94,76.5,113.44,51.94,76.5,113.44,0.6,-0.46,-0.58,-0.3,0.0,8.81,67.19,-49.44,8.81,67.19,-49.44,0.79,0.14,-0.6,-0.06
0.0,55.31,76.87,120.56,55.31,76.87,120.56,0.58,-0.48,-0.58,-0.31,0.0,9.5,67.94,-54.5,9.5,67.94,-54.5,0.77,0.15,-0.61,-0.07
0.0,57.31,74.87,130.81,57.31,74.87,130.81,0.55,-0.5,-0.59,-0.31,0.0,10.13,67.87,-55.56,10.13,67.87,-55.56,0.78,0.14,-0.61,-0.07
0.0,57.69,71.06,143.44,57.69,71.06,143.44,0.52,-0.52,-0.61,-0.29,0.0,10.81,66.44,-52.06,10.81,66.44,-52.06,0.79,0.15,-0.59,-0.08
0.0,58.0,66.44,152.44,58.0,66.44,152.44,0.48,-0.54,-0.63,-0.27,0.0,12.06,64.56,-50.88,12.06,64.56,-50.88,0.8,0.15,-0.58,-0.09
0.0,58.13,60.69,158.0,58.13,60.69,158.0,0.44,-0.56,-0.65,-0.25,0.0,13.0,62.19,-48.0,13.0,62.19,-48.0,0.81,0.15,-0.56,-0.09
0.0,57.25,55.63,163.06,57.25,55.63,163.06,0.41,-0.56,-0.68,-0.22,0.0,13.06,58.88,-42.19,13.06,58.88,-42.19,0.84,0.15,-0.52,-0.09
0.0,55.0,52.25,164.81,55.0,52.25,164.81,0.4,-0.56,-0.7,-0.2,0.0,11.5,52.69,-33.56,11.5,52.69,-33.56,0.87,0.15,-0.46,-0.08
0.0,51.75,50.69,164.69,51.75,50.69,164.69,0.4,-0.55,-0.71,-0.19,0.0,9.94,46.81,-29.75,9.94,46.81,-29.75,0.89,0.15,-0.42,-0.08
0.0,49.0,49.56,163.44,49.0,49.56,163.44,0.4,-0.56,-0.71,-0.18,0.0,10.13,42.81,-30.0,10.13,42.81,-30.0,0.9,0.17,-0.39,-0.08
0.0,45.5,48.31,161.63,45.5,48.31,161.63,0.4,-0.56,-0.71,-0.16,0.0,8.81,39.06,-28.69,8.81,39.06,-28.69,0.91,0.18,-0.36,-0.07
0.0,41.63,48.19,159.63,41.63,48.19,159.63,0.4,-0.56,-0.71,-0.15,0.0,6.75,36.19,-26.0,6.75,36.19,-26.0,0.93,0.17,-0.33,-0.05
0.0,38.63,49.06,157.31,38.63,49.06,157.31,0.42,-0.55,-0.71,-0.15,0.0,5.81,34.5,-25.25,5.81,34.5,-25.25,0.93,0.17,-0.31,-0.05
