Calibration_1,AccX_1,AccY_1,AccZ_1,Roll_1,Pitch_1,Yaw_1,QuatW_1,QuatX_1,QuatY_1,QuatZ_1,Calibration_2,AccX_2,AccY_2,AccZ_2,Roll_2,Pitch_2,Yaw_2,QuatW_2,QuatX_2,QuatY_2,QuatZ_2
0.0,356.94,34.44,120.5,356.94,34.44,120.5,0.54,-0.64,-0.54,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,356.88,34.44,120.69,356.88,34.44,120.69,0.54,-0.64,-0.54,0.01,0.0,359.81,0.37,-0.37,359.81,0.37,-0.37,1.0,0.0,-0.0,0.0
0.0,356.94,34.44,120.75,356.94,34.44,120.75,0.54,-0.64,-0.54,0.01,0.0,359.63,0.44,-0.5,359.63,0.44,-0.5,1.0,0.0,-0.0,0.0
0.0,356.94,34.44,120.94,356.94,34.44,120.94,0.54,-0.65,-0.54,0.01,0.0,359.5,0.19,-0.5,359.5,0.19,-0.5,1.0,0.0,-0.0,0.0
0.0,357.0,34.44,121.06,357.0,34.44,121.06,0.54,-0.64,-0.54,0.01,0.0,359.5,0.06,-0.44,359.5,0.06,-0.44,1.0,0.0,-0.0,0.0
0.0,357.06,34.63,120.75,357.06,34.63,120.75,0.54,-0.64,-0.55,0.01,0.0,359.44,36.56,-46.88,359.44,36.56,-46.88,0.88,0.33,-0.34,0.0
0.0,357.25,34.88,120.69,357.25,34.88,120.69,0.54,-0.64,-0.55,0.01,0.0,359.31,36.44,-46.63,359.31,36.44,-46.63,0.88,0.33,-0.34,0.01
0.0,357.38,34.88,120.81,357.38,34.88,120.81,0.54,-0.64,-0.55,0.01,0.0,359.25,36.44,-46.5,359.25,36.44,-46.5,0.88,0.33,-0.34,0.01
0.0,357.56,35.0,120.81,357.56,35.0,120.81,0.54,-0.64,-0.55,0.01,0.0,359.38,36.44,-46.63,359.38,36.44,-46.63,0.88,0.33,-0.34,0.0
0.0,357.75,35.19,120.75,357.75,35.19,120.75,0.54,-0.64,-0.55,0.01,0.0,359.38,36.44,-46.63,359.38,36.44,-46.63,0.88,0.33,-0.34,0.0
0.0,357.88,35.19,120.87,357.88,35.19,120.87,0.54,-0.64,-0.55,0.01,0.0,359.31,36.44,-46.56,359.31,36.44,-46.56,0.88,0.33,-0.34,0.0
0.0,357.94,35.19,120.94,357.94,35.19,120.94,0.54,-0.64,-0.55,0.01,0.0,359.38,36.44,-46.56,359.38,36.44,-46.56,0.88,0.33,-0.34,0.0
0.0,357.88,35.38,120.62,357.88,35.38,120.62,0.54,-0.64,-0.55,0.01,0.0,359.38,36.44,-46.63,359.38,36.44,-46.63,0.88,0.33,-0.34,0.0
0.0,357.88,35.5,120.44,357.88,35.5,120.44,0.54,-0.64,-0.55,0.01,0.0,359.38,36.38,-46.44,359.38,36.38,-46.44,0.88,0.33,-0.34,0.0
0.0,357.88,35.38,120.62,357.88,35.38,120.62,0.54,-0.64,-0.55,0.01,0.0,359.38,36.38,-46.38,359.38,36.38,-46.38,0.88,0.33,-0.33,0.0
0.0,357.88,35.38,120.62,357.88,35.38,120.62,0.54,-0.64,-0.55,0.01,0.0,359.44,36.44,-46.56,359.44,36.44,-46.56,0.88,0.33,-0.34,0.0
0.0,357.75,35.5,120.37,357.75,35.5,120.37,0.54,-0.64,-0.55,0.01,0.0,359.5,36.5,-46.63,359.5,36.5,-46.63,0.88,0.33,-0.34,0.0
0.0,357.88,35.5,120.5,357.88,35.5,120.5,0.54,-0.64,-0.55,0.01,0.0,359.38,36.5,-46.56,359.38,36.5,-46.56,0.88,0.33,-0.34,0.0
0.0,358.0,35.44,120.75,358.0,35.44,120.75,0.54,-0.64,-0.55,0.01,0.0,359.38,36.5,-46.56,359.38,36.5,-46.56,0.88,0.33,-0.34,0.0
0.0,358.0,35.56,120.56,358.0,35.56,120.56,0.54,-0.64,-0.55,0.01,0.0,359.44,36.5,-46.63,359.44,36.5,-46.63,0.88,0.33,-0.34,0.0
0.0,357.94,35.63,120.37,357.94,35.63,120.37,0.54,-0.64,-0.55,0.01,0.0,359.38,36.5,-46.63,359.38,36.5,-46.63,0.88,0.33,-0.34,0.0
0.0,357.81,35.56,120.44,357.81,35.56,120.44,0.54,-0.64,-0.55,0.01,0.0,359.31,36.5,-46.63,359.31,36.5,-46.63,0.88,0.33,-0.34,0.01
0.0,357.5,35.44,120.31,357.5,35.44,120.31,0.54,-0.64,-0.55,0.01,0.0,359.38,36.5,-46.69,359.38,36.5,-46.69,0.88,0.33,-0.34,0.0
0.0,357.38,35.44,120.19,357.38,35.44,120.19,0.54,-0.64,-0.55,0.01,0.0,359.44,36.56,-46.69,359.44,36.56,-46.69,0.88,0.33,-0.34,0.0
0.0,357.13,35.25,120.25,357.13,35.25,120.25,0.54,-0.64,-0.55,0.01,0.0,359.38,36.5,-46.56,359.38,36.5,-46.56,0.88,0.33,-0.34,0.0
0.0,357.06,35.31,120.12,357.06,35.31,120.12,0.54,-0.64,-0.55,0.01,0.0,359.38,36.5,-46.5,359.38,36.5,-46.5,0.88,0.33,-0.34,0.0
0.0,356.88,35.31,119.87,356.88,35.31,119.87,0.54,-0.63,-0.55,0.02,0.0,359.5,36.5,-46.56,359.5,36.5,-46.56,0.88,0.33,-0.34,0.0
0.0,356.44,35.06,119.81,356.44,35.06,119.81,0.54,-0.64,-0.55,0.02,0.0,359.5,36.5,-46.5,359.5,36.5,-46.5,0.88,0.33,-0.34,0.0
0.0,356.19,34.88,119.81,356.19,34.88,119.81,0.54,-0.64,-0.55,0.02,0.0,359.44,36.5,-46.44,359.44,36.5,-46.44,0.88,0.33,-0.34,0.0
0.0,356.0,35.0,119.5,356.0,35.0,119.5,0.55,-0.63,-0.55,0.02,0.0,359.56,36.5,-46.56,359.56,36.5,-46.56,0.88,0.33,-0.34,0.0
0.0,355.94,35.0,119.37,355.94,35.0,119.37,0.55,-0.63,-0.55,0.02,0.0,359.56,36.56,-46.56,359.56,36.56,-46.56,0.88,0.33,-0.34,0.0
0.0,355.19,34.5,119.5,355.19,34.5,119.5,0.54,-0.64,-0.55,0.02,0.0,359.5,36.5,-46.38,359.5,36.5,-46.38,0.88,0.33,-0.34,0.0
0.0,354.38,34.06,119.19,354.38,34.06,119.19,0.55,-0.64,-0.54,0.03,0.0,359.56,36.63,-46.38,359.56,36.63,-46.38,0.88,0.33,-0.34,0.0
0.0,353.31,33.63,117.87,353.31,33.63,117.87,0.55,-0.63,-0.54,0.03,0.0,359.5,36.75,-46.06,359.5,36.75,-46.06,0.88,0.33,-0.34,0.01
0.0,350.13,32.31,115.87,350.13,32.31,115.87,0.56,-0.63,-0.53,0.05,0.0,357.94,37.06,-43.44,357.94,37.06,-43.44,0.89,0.31,-0.34,0.02
0.0,347.63,32.13,115.75,347.63,32.13,115.75,0.56,-0.62,-0.55,0.07,0.0,359.63,37.88,-43.19,359.63,37.88,-43.19,0.88,0.31,-0.35,-0.01
0.0,342.31,29.0,116.25,342.31,29.0,116.25,0.54,-0.63,-0.54,0.09,0.0,5.94,38.56,-46.63,5.94,38.56,-46.63,0.87,0.3,-0.38,-0.06
0.0,340.06,28.0,116.5,340.06,28.0,116.5,0.54,-0.63,-0.54,0.1,0.0,10.13,40.5,-47.56,10.13,40.5,-47.56,0.86,0.28,-0.41,-0.08
0.0,338.69,27.81,115.25,338.69,27.81,115.25,0.55,-0.62,-0.55,0.1,0.0,10.5,43.31,-48.69,10.5,43.31,-48.69,0.85,0.28,-0.43,-0.08
0.0,340.63,30.5,114.44,340.63,30.5,114.44,0.56,-0.6,-0.56,0.09,0.0,11.44,45.81,-51.25,11.44,45.81,-51.25,0.84,0.28,-0.46,-0.09
0.0,345.69,33.06,117.19,345.69,33.06,117.19,0.54,-0.61,-0.57,0.06,0.0,14.31,47.63,-54.63,14.31,47.63,-54.63,0.82,0.27,-0.49,-0.11
0.0,352.31,34.56,122.12,352.31,34.56,122.12,0.53,-0.62,-0.58,0.02,0.0,16.25,48.56,-56.69,16.25,48.56,-56.69,0.82,0.27,-0.5,-0.12
0.0,1.63,39.25,124.44,1.63,39.25,124.44,0.53,-0.61,-0.59,-0.01,0.0,17.12,48.56,-56.75,17.12,48.56,-56.75,0.82,0.26,-0.5,-0.13
0.0,9.19,45.75,123.25,9.19,45.75,123.25,0.55,-0.57,-0.6,-0.04,0.0,19.31,47.44,-56.44,19.31,47.44,-56.44,0.82,0.26,-0.5,-0.14
0.0,18.31,52.0,124.44,18.31,52.0,124.44,0.56,-0.55,-0.61,-0.09,0.0,23.31,44.38,-55.19,23.31,44.38,-55.19,0.82,0.26,-0.48,-0.17
0.0,32.75,57.19,129.19,32.75,57.19,129.19,0.55,-0.56,-0.6,-0.16,0.0,24.75,39.63,-49.56,24.75,39.63,-49.56,0.85,0.25,-0.43,-0.19
0.0,40.19,58.13,132.0,40.19,58.13,132.0,0.53,-0.58,-0.58,-0.2,0.0,23.19,36.13,-45.31,23.19,36.13,-45.31,0.88,0.25,-0.37,-0.17
0.0,42.19,58.75,134.25,42.19,58.75,134.25,0.52,-0.58,-0.59,-0.2,0.0,20.44,30.06,-40.75,20.44,30.06,-40.75,0.9,0.26,-0.31,-0.16
0.0,39.94,56.0,137.13,39.94,56.0,137.13,0.5,-0.6,-0.6,-0.17,0.0,18.31,23.69,-38.75,18.31,23.69,-38.75,0.92,0.28,-0.25,-0.14
0.0,30.37,49.5,139.19,30.37,49.5,139.19,0.48,-0.61,-0.63,-0.12,0.0,15.06,18.94,-38.69,15.06,18.94,-38.69,0.93,0.3,-0.2,-0.11
0.0,25.94,45.44,141.56,25.94,45.44,141.56,0.46,-0.62,-0.63,-0.11,0.0,11.19,16.31,-39.13,11.19,16.31,-39.13,0.93,0.31,-0.17,-0.08
0.0,25.5,42.75,142.56,25.5,42.75,142.56,0.44,-0.65,-0.61,-0.09,0.0,5.13,15.88,-40.13,5.13,15.88,-40.13,0.93,0.33,-0.16,-0.03
0.0,19.56,40.13,139.5,19.56,40.13,139.5,0.46,-0.65,-0.6,-0.07,0.0,359.19,17.62,-42.81,359.19,17.62,-42.81,0.92,0.36,-0.17,0.02
0.0,14.0,41.19,134.06,14.0,41.19,134.06,0.5,-0.62,-0.6,-0.05,0.0,354.81,21.5,-45.0,354.81,21.5,-45.0,0.91,0.37,-0.2,0.04
0.0,6.56,43.25,125.69,6.56,43.25,125.69,0.55,-0.57,-0.61,-0.02,0.0,354.0,25.25,-46.25,354.0,25.25,-46.25,0.9,0.38,-0.23,0.05
0.0,0.44,43.88,118.56,0.44,43.88,118.56,0.58,-0.55,-0.6,0.01,0.0,352.06,28.56,-48.5,352.06,28.56,-48.5,0.88,0.39,-0.25,0.07
0.0,355.44,41.44,115.81,355.44,41.44,115.81,0.58,-0.56,-0.59,0.03,0.0,345.63,31.5,-48.31,345.63,31.5,-48.31,0.88,0.39,-0.25,0.11
0.0,348.44,39.06,111.69,348.44,39.06,111.69,0.6,-0.54,-0.58,0.07,0.0,335.63,35.38,-44.25,335.63,35.38,-44.25,0.87,0.38,-0.25,0.19
0.0,342.31,38.13,106.94,342.31,38.13,106.94,0.62,-0.51,-0.59,0.1,0.0,327.0,40.44,-38.94,327.0,40.44,-38.94,0.86,0.36,-0.27,0.25
0.0,341.06,38.31,106.62,341.06,38.31,106.62,0.61,-0.51,-0.59,0.1,0.0,323.56,46.63,-34.13,323.56,46.63,-34.13,0.84,0.33,-0.32,0.28
0.0,338.13,35.0,110.44,338.13,35.0,110.44,0.58,-0.55,-0.6,0.12,0.0,327.69,53.88,-37.13,327.69,53.88,-37.13,0.82,0.33,-0.4,0.24
0.0,337.31,33.75,113.62,337.31,33.75,113.62,0.56,-0.55,-0.61,0.11,0.0,333.31,60.19,-48.19,333.31,60.19,-48.19,0.79,0.34,-0.47,0.19
0.0,339.44,34.69,117.06,339.44,34.69,117.06,0.54,-0.56,-0.62,0.1,0.0,336.63,63.06,-53.94,336.63,63.06,-53.94,0.78,0.34,-0.5,0.16
0.0,341.5,34.38,120.37,341.5,34.38,120.37,0.53,-0.56,-0.63,0.08,0.0,336.81,65.31,-52.94,336.81,65.31,-52.94,0.77,0.32,-0.52,0.16
0.0,347.44,37.25,122.44,347.44,37.25,122.44,0.53,-0.56,-0.63,0.06,0.0,336.75,67.19,-54.56,336.75,67.19,-54.56,0.76,0.32,-0.55,0.15
0.0,356.5,41.5,124.06,356.5,41.5,124.06,0.54,-0.56,-0.63,-0.0,0.0,340.31,68.94,-67.62,340.31,68.94,-67.62,0.74,0.32,-0.57,0.13
0.0,8.31,46.75,125.44,8.31,46.75,125.44,0.55,-0.56,-0.62,-0.04,0.0,343.75,67.94,-77.12,343.75,67.94,-77.12,0.72,0.34,-0.59,0.09
0.0,15.88,50.25,124.37,15.88,50.25,124.37,0.56,-0.56,-0.61,-0.08,0.0,350.38,64.94,-82.44,350.38,64.94,-82.44,0.73,0.34,-0.6,0.04
0.0,19.31,52.56,119.37,19.31,52.56,119.37,0.58,-0.55,-0.59,-0.1,0.0,358.06,61.31,-81.0,358.06,61.31,-81.0,0.74,0.33,-0.59,-0.0
0.0,29.0,60.19,113.87,29.0,60.19,113.87,0.61,-0.52,-0.57,-0.16,0.0,5.56,57.0,-78.19,5.56,57.0,-78.19,0.75,0.33,-0.57,-0.05
0.0,37.44,65.0,111.12,37.44,65.0,111.12,0.62,-0.51,-0.56,-0.21,0.0,12.19,52.19,-77.37,12.19,52.19,-77.37,0.75,0.34,-0.56,-0.09
0.0,40.56,65.0,112.81,40.56,65.0,112.81,0.6,-0.53,-0.55,-0.23,0.0,16.44,48.75,-75.31,16.44,48.75,-75.31,0.76,0.34,-0.55,-0.11
0.0,45.81,65.25,115.94,45.81,65.25,115.94,0.59,-0.55,-0.54,-0.26,0.0,19.81,45.94,-73.87,19.81,45.94,-73.87,0.76,0.35,-0.53,-0.13
0.0,51.81,68.56,117.25,51.81,68.56,117.25,0.58,-0.54,-0.54,-0.29,0.0,23.12,42.94,-72.94,23.12,42.94,-72.94,0.76,0.35,-0.52,-0.16
0.0,55.75,71.37,120.5,55.75,71.37,120.5,0.57,-0.53,-0.55,-0.3,0.0,25.69,39.5,-72.0,25.69,39.5,-72.0,0.77,0.36,-0.5,-0.18
0.0,54.13,67.69,125.94,54.13,67.69,125.94,0.55,-0.57,-0.55,-0.28,0.0,26.81,36.88,-70.5,26.81,36.88,-70.5,0.77,0.37,-0.48,-0.18
0.0,52.44,63.5,129.88,52.44,63.5,129.88,0.53,-0.6,-0.54,-0.25,0.0,27.69,34.13,-67.56,27.69,34.13,-67.56,0.79,0.38,-0.45,-0.19
0.0,43.19,55.31,131.0,43.19,55.31,131.0,0.51,-0.64,-0.54,-0.18,0.0,27.12,32.0,-64.44,27.12,32.0,-64.44,0.8,0.37,-0.42,-0.19
0.0,31.81,47.13,131.75,31.81,47.13,131.75,0.5,-0.66,-0.54,-0.12,0.0,27.19,30.5,-63.0,27.19,30.5,-63.0,0.82,0.38,-0.39,-0.19
0.0,19.69,41.38,129.88,19.69,41.38,129.88,0.51,-0.67,-0.54,-0.07,0.0,24.31,28.12,-59.19,24.31,28.12,-59.19,0.84,0.38,-0.35,-0.17
0.0,6.81,36.94,125.56,6.81,36.94,125.56,0.52,-0.66,-0.54,-0.01,0.0,20.44,25.19,-57.13,20.44,25.19,-57.13,0.85,0.4,-0.31,-0.15
0.0,352.5,31.44,121.19,352.5,31.44,121.19,0.53,-0.66,-0.53,0.06,0.0,17.0,22.5,-58.06,17.0,22.5,-58.06,0.86,0.42,-0.28,-0.11
0.0,339.81,26.56,115.62,339.81,26.56,115.62,0.55,-0.64,-0.52,0.11,0.0,8.38,22.44,-57.31,8.38,22.44,-57.31,0.87,0.44,-0.24,-0.03
0.0,331.69,24.44,109.19,331.69,24.44,109.19,0.58,-0.61,-0.52,0.16,0.0,356.94,24.81,-56.19,356.94,24.81,-56.19,0.87,0.44,-0.23,0.05
0.0,327.56,24.5,103.87,327.56,24.5,103.87,0.61,-0.58,-0.52,0.18,0.0,347.69,29.44,-55.19,347.69,29.44,-55.19,0.86,0.44,-0.25,0.11
0.0,325.69,24.87,102.25,325.69,24.87,102.25,0.6,-0.57,-0.53,0.19,0.0,344.44,35.56,-55.5,344.44,35.56,-55.5,0.84,0.43,-0.3,0.12
0.0,323.38,23.75,103.94,323.38,23.75,103.94,0.59,-0.58,-0.53,0.2,0.0,344.56,42.06,-57.81,344.56,42.06,-57.81,0.82,0.42,-0.37,0.1
0.0,322.75,23.37,106.56,322.75,23.37,106.56,0.57,-0.58,-0.55,0.19,0.0,347.56,45.56,-60.94,347.56,45.56,-60.94,0.81,0.42,-0.41,0.09
0.0,323.56,25.0,108.25,323.56,25.0,108.25,0.57,-0.57,-0.56,0.19,0.0,345.5,49.5,-60.56,345.5,49.5,-60.56,0.81,0.4,-0.43,0.11
0.0,325.06,26.75,111.75,325.06,26.75,111.75,0.55,-0.57,-0.59,0.17,0.0,342.31,52.88,-55.88,342.31,52.88,-55.88,0.81,0.37,-0.44,0.13
0.0,328.13,27.81,117.06,328.13,27.81,117.06,0.53,-0.57,-0.61,0.15,0.0,339.75,56.25,-51.81,339.75,56.25,-51.81,0.8,0.34,-0.46,0.15
0.0,334.19,30.06,123.0,334.19,30.06,123.0,0.5,-0.58,-0.63,0.11,0.0,340.06,59.31,-51.38,340.06,59.31,-51.38,0.8,0.33,-0.49,0.14
0.0,342.5,32.5,128.19,342.5,32.5,128.19,0.48,-0.59,-0.65,0.07,0.0,341.63,61.81,-51.38,341.63,61.81,-51.38,0.79,0.31,-0.5,0.13
0.0,349.5,35.56,131.0,349.5,35.56,131.0,0.48,-0.58,-0.66,0.04,0.0,343.44,63.81,-54.0,343.44,63.81,-54.0,0.79,0.3,-0.53,0.11
0.0,357.44,38.94,133.06,357.44,38.94,133.06,0.48,-0.57,-0.66,0.01,0.0,346.06,64.44,-58.06,346.06,64.44,-58.06,0.78,0.3,-0.54,0.09
