Calibration_1,AccX_1,AccY_1,AccZ_1,Roll_1,Pitch_1,Yaw_1,QuatW_1,QuatX_1,QuatY_1,QuatZ_1,Calibration_2,AccX_2,AccY_2,AccZ_2,Roll_2,Pitch_2,Yaw_2,QuatW_2,QuatX_2,QuatY_2,QuatZ_2
0.0,36.5,-22.56,-1.44,36.5,-22.56,-1.44,0.93,0.07,0.18,-0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,37.63,-22.5,-2.13,37.63,-22.5,-2.13,0.93,0.08,0.18,-0.32,0.0,359.69,1.81,-0.94,359.69,1.81,-0.94,1.0,0.01,-0.02,0.0
0.0,38.06,-22.44,-1.56,38.06,-22.44,-1.56,0.93,0.08,0.18,-0.32,0.0,359.63,2.38,-1.06,359.63,2.38,-1.06,1.0,0.01,-0.02,0.01
0.0,38.19,-22.62,-0.81,38.19,-22.62,-0.81,0.93,0.07,0.19,-0.32,0.0,357.88,2.19,-2.06,357.88,2.19,-2.06,1.0,0.02,-0.02,0.02
0.0,38.94,-23.12,0.44,38.94,-23.12,0.44,0.92,0.06,0.19,-0.33,0.0,357.13,2.69,-2.38,357.13,2.69,-2.38,1.0,0.02,-0.02,0.02
0.0,38.63,-23.19,0.44,38.63,-23.19,0.44,0.92,0.06,0.19,-0.32,0.0,357.63,4.25,-1.94,357.63,4.25,-1.94,1.0,0.02,-0.04,0.02
0.0,39.06,-23.19,0.06,39.06,-23.19,0.06,0.92,0.07,0.19,-0.33,0.0,358.0,5.5,-1.81,358.0,5.5,-1.81,1.0,0.02,-0.05,0.02
0.0,39.06,-22.87,0.12,39.06,-22.87,0.12,0.92,0.06,0.19,-0.33,0.0,358.0,5.75,-2.06,358.0,5.75,-2.06,1.0,0.02,-0.05,0.02
0.0,38.75,-22.87,0.44,38.75,-22.87,0.44,0.92,0.06,0.19,-0.33,0.0,357.63,5.0,-2.5,357.63,5.0,-2.5,1.0,0.02,-0.04,0.02
0.0,38.81,-22.87,0.19,38.81,-22.87,0.19,0.92,0.06,0.19,-0.33,0.0,357.25,4.06,-2.75,357.25,4.06,-2.75,1.0,0.03,-0.03,0.02
0.0,39.19,-22.87,0.0,39.19,-22.87,0.0,0.92,0.07,0.19,-0.33,0.0,356.81,3.63,-2.94,356.81,3.63,-2.94,1.0,0.03,-0.03,0.03
0.0,39.31,-22.62,0.19,39.31,-22.62,0.19,0.92,0.06,0.19,-0.33,0.0,356.88,4.13,-2.5,356.88,4.13,-2.5,1.0,0.02,-0.04,0.03
0.0,39.31,-22.5,0.56,39.31,-22.5,0.56,0.92,0.06,0.19,-0.33,0.0,357.31,5.13,-1.88,357.31,5.13,-1.88,1.0,0.02,-0.04,0.02
0.0,38.94,-22.37,0.63,38.94,-22.37,0.63,0.92,0.06,0.18,-0.33,0.0,357.56,6.0,-1.88,357.56,6.0,-1.88,1.0,0.02,-0.05,0.02
0.0,39.25,-22.44,0.31,39.25,-22.44,0.31,0.92,0.06,0.18,-0.33,0.0,357.56,6.19,-2.06,357.56,6.19,-2.06,1.0,0.02,-0.05,0.02
0.0,39.38,-22.37,0.25,39.38,-22.37,0.25,0.92,0.06,0.18,-0.33,0.0,357.25,5.81,-2.31,357.25,5.81,-2.31,1.0,0.02,-0.05,0.03
0.0,39.19,-22.44,0.5,39.19,-22.44,0.5,0.92,0.06,0.18,-0.33,0.0,356.81,5.44,-2.31,356.81,5.44,-2.31,1.0,0.02,-0.05,0.03
0.0,39.0,-22.25,0.44,39.0,-22.25,0.44,0.92,0.06,0.18,-0.33,0.0,356.94,5.81,-2.0,356.94,5.81,-2.0,1.0,0.02,-0.05,0.03
0.0,39.06,-22.12,0.31,39.06,-22.12,0.31,0.92,0.06,0.18,-0.33,0.0,357.06,6.69,-1.88,357.06,6.69,-1.88,1.0,0.02,-0.06,0.03
0.0,38.94,-22.25,0.31,38.94,-22.25,0.31,0.93,0.06,0.18,-0.33,0.0,356.75,7.06,-2.13,356.75,7.06,-2.13,1.0,0.02,-0.06,0.03
0.0,38.75,-22.25,0.37,38.75,-22.25,0.37,0.93,0.06,0.18,-0.32,0.0,356.06,7.0,-2.5,356.06,7.0,-2.5,1.0,0.02,-0.06,0.03
0.0,38.38,-22.0,0.25,38.38,-22.0,0.25,0.93,0.06,0.18,-0.32,0.0,355.75,7.13,-2.81,355.75,7.13,-2.81,1.0,0.03,-0.06,0.04
0.0,38.19,-21.75,-0.31,38.19,-21.75,-0.31,0.93,0.06,0.18,-0.32,0.0,355.0,7.63,-3.13,355.0,7.63,-3.13,1.0,0.03,-0.07,0.04
0.0,38.19,-22.0,0.56,38.19,-22.0,0.56,0.93,0.05,0.19,-0.31,0.0,354.31,8.5,-3.44,354.31,8.5,-3.44,1.0,0.04,-0.07,0.05
0.0,35.63,-22.0,2.06,35.63,-22.0,2.06,0.93,0.04,0.18,-0.3,0.0,352.19,8.06,-5.06,352.19,8.06,-5.06,0.99,0.05,-0.06,0.08
0.0,35.94,-19.87,2.88,35.94,-19.87,2.88,0.94,0.03,0.17,-0.31,0.0,346.88,8.0,-6.81,346.88,8.0,-6.81,0.99,0.07,-0.07,0.12
0.0,37.69,-18.81,5.0,37.69,-18.81,5.0,0.93,0.01,0.17,-0.32,0.0,345.69,11.56,-7.19,345.69,11.56,-7.19,0.98,0.08,-0.11,0.13
0.0,38.5,-19.56,11.0,38.5,-19.56,11.0,0.93,-0.03,0.19,-0.32,0.0,344.88,17.06,-6.44,344.88,17.06,-6.44,0.98,0.07,-0.14,0.13
0.0,40.0,-19.75,18.56,40.0,-19.75,18.56,0.91,-0.09,0.22,-0.33,0.0,343.81,21.06,-3.56,343.81,21.06,-3.56,0.97,0.06,-0.18,0.14
0.0,41.06,-19.87,23.06,41.06,-19.87,23.06,0.9,-0.13,0.24,-0.34,0.0,342.63,23.06,1.5,342.63,23.06,1.5,0.97,0.02,-0.2,0.15
0.0,42.69,-20.5,29.44,42.69,-20.5,29.44,0.88,-0.17,0.27,-0.35,0.0,342.94,25.37,5.13,342.94,25.37,5.13,0.96,-0.02,-0.24,0.14
0.0,43.0,-20.5,32.5,43.0,-20.5,32.5,0.88,-0.18,0.27,-0.35,0.0,344.25,31.44,10.75,344.25,31.44,10.75,0.94,-0.06,-0.3,0.13
0.0,43.38,-19.31,33.13,43.38,-19.31,33.13,0.88,-0.19,0.26,-0.35,0.0,345.25,38.81,16.62,345.25,38.81,16.62,0.92,-0.08,-0.37,0.11
0.0,43.75,-18.31,35.25,43.75,-18.31,35.25,0.87,-0.22,0.26,-0.35,0.0,348.31,44.88,21.06,348.31,44.88,21.06,0.9,-0.11,-0.41,0.08
0.0,44.44,-17.31,37.88,44.44,-17.31,37.88,0.86,-0.24,0.27,-0.36,0.0,351.0,45.69,23.19,351.0,45.69,23.19,0.91,-0.13,-0.4,0.07
0.0,43.88,-16.44,39.69,43.88,-16.44,39.69,0.87,-0.25,0.26,-0.34,0.0,350.06,41.0,23.12,350.06,41.0,23.12,0.92,-0.13,-0.36,0.09
0.0,41.63,-15.5,38.88,41.63,-15.5,38.88,0.88,-0.25,0.24,-0.33,0.0,348.19,37.19,20.94,348.19,37.19,20.94,0.93,-0.11,-0.33,0.1
0.0,40.31,-14.13,36.88,40.31,-14.13,36.88,0.89,-0.24,0.22,-0.33,0.0,348.0,36.81,19.44,348.0,36.81,19.44,0.93,-0.11,-0.33,0.09
0.0,40.44,-12.81,36.13,40.44,-12.81,36.13,0.89,-0.24,0.22,-0.33,0.0,349.44,37.31,20.12,349.44,37.31,20.12,0.93,-0.12,-0.34,0.08
0.0,39.13,-11.5,35.13,39.13,-11.5,35.13,0.9,-0.24,0.19,-0.31,0.0,350.69,36.5,21.69,350.69,36.5,21.69,0.93,-0.14,-0.33,0.07
0.0,35.94,-10.94,32.94,35.94,-10.94,32.94,0.91,-0.24,0.18,-0.29,0.0,351.13,34.38,22.87,351.13,34.38,22.87,0.94,-0.15,-0.31,0.07
0.0,33.75,-10.31,28.5,33.75,-10.31,28.5,0.92,-0.21,0.16,-0.28,0.0,351.94,32.75,23.31,351.94,32.75,23.31,0.94,-0.16,-0.3,0.07
0.0,31.44,-10.44,24.69,31.44,-10.44,24.69,0.94,-0.18,0.15,-0.26,0.0,353.56,31.69,24.31,353.56,31.69,24.31,0.94,-0.17,-0.29,0.05
0.0,29.37,-10.81,21.06,29.37,-10.81,21.06,0.95,-0.15,0.14,-0.25,0.0,355.0,31.31,25.0,355.0,31.31,25.0,0.94,-0.18,-0.28,0.03
0.0,29.44,-11.0,17.56,29.44,-11.0,17.56,0.95,-0.12,0.13,-0.25,0.0,357.44,30.31,25.44,357.44,30.31,25.44,0.94,-0.19,-0.27,0.02
0.0,29.75,-11.56,16.06,29.75,-11.56,16.06,0.95,-0.1,0.14,-0.25,0.0,359.06,27.81,24.81,359.06,27.81,24.81,0.95,-0.19,-0.24,0.01
0.0,30.06,-12.75,14.81,30.06,-12.75,14.81,0.95,-0.09,0.14,-0.26,0.0,359.5,24.62,22.5,359.5,24.62,22.5,0.96,-0.17,-0.21,0.0
0.0,31.25,-13.81,13.5,31.25,-13.81,13.5,0.95,-0.07,0.15,-0.27,0.0,359.31,22.25,19.12,359.31,22.25,19.12,0.97,-0.15,-0.19,0.01
0.0,33.81,-16.44,14.31,33.81,-16.44,14.31,0.93,-0.08,0.19,-0.29,0.0,359.81,21.37,15.69,359.81,21.37,15.69,0.98,-0.12,-0.18,-0.0
0.0,34.44,-23.69,19.0,34.44,-23.69,19.0,0.92,-0.09,0.27,-0.28,0.0,359.69,19.31,12.25,359.69,19.31,12.25,0.98,-0.09,-0.16,0.01
0.0,32.19,-32.88,23.0,32.19,-32.88,23.0,0.9,-0.09,0.34,-0.26,0.0,355.94,16.75,6.25,355.94,16.75,6.25,0.99,-0.03,-0.15,0.04
0.0,34.38,-36.25,26.75,34.38,-36.25,26.75,0.88,-0.09,0.36,-0.28,0.0,354.81,17.5,1.0,354.81,17.5,1.0,0.99,0.0,-0.16,0.04
0.0,37.25,-36.06,26.81,37.25,-36.06,26.81,0.88,-0.08,0.37,-0.3,0.0,356.38,18.5,-0.19,356.38,18.5,-0.19,0.99,0.01,-0.16,0.03
0.0,40.94,-37.81,30.69,40.94,-37.81,30.69,0.84,-0.1,0.41,-0.33,0.0,357.5,19.12,-2.5,357.5,19.12,-2.5,0.99,0.02,-0.17,0.02
0.0,43.56,-43.06,39.81,43.56,-43.06,39.81,0.81,-0.1,0.47,-0.33,0.0,356.06,19.12,-7.5,356.06,19.12,-7.5,0.98,0.07,-0.16,0.03
0.0,44.75,-46.06,42.75,44.75,-46.06,42.75,0.8,-0.09,0.49,-0.33,0.0,355.69,18.81,-10.13,355.69,18.81,-10.13,0.98,0.1,-0.16,0.04
0.0,48.44,-46.69,44.13,48.44,-46.69,44.13,0.79,-0.08,0.5,-0.35,0.0,356.75,19.19,-12.06,356.75,19.19,-12.06,0.98,0.11,-0.16,0.03
0.0,49.69,-48.75,49.56,49.69,-48.75,49.56,0.77,-0.08,0.53,-0.36,0.0,358.0,21.0,-13.0,358.0,21.0,-13.0,0.97,0.11,-0.19,0.01
0.0,49.69,-51.13,51.94,49.69,-51.13,51.94,0.76,-0.07,0.55,-0.35,0.0,0.25,24.19,-14.56,0.25,24.19,-14.56,0.97,0.12,-0.22,-0.01
0.0,49.5,-52.31,47.81,49.5,-52.31,47.81,0.76,-0.05,0.54,-0.35,0.0,1.75,25.37,-15.94,1.75,25.37,-15.94,0.97,0.13,-0.22,-0.02
0.0,49.0,-52.88,45.06,49.0,-52.88,45.06,0.77,-0.03,0.54,-0.35,0.0,1.69,24.62,-17.75,1.69,24.62,-17.75,0.97,0.15,-0.21,-0.01
0.0,48.31,-54.69,46.0,48.31,-54.69,46.0,0.76,-0.02,0.55,-0.34,0.0,0.75,22.94,-19.5,0.75,22.94,-19.5,0.97,0.16,-0.2,-0.0
0.0,47.63,-55.75,45.19,47.63,-55.75,45.19,0.77,-0.01,0.55,-0.34,0.0,0.37,21.25,-19.75,0.37,21.25,-19.75,0.97,0.16,-0.19,-0.0
0.0,47.75,-55.13,41.06,47.75,-55.13,41.06,0.78,-0.0,0.53,-0.35,0.0,1.5,19.94,-19.25,1.5,19.94,-19.25,0.97,0.16,-0.18,-0.01
0.0,47.75,-53.5,35.94,47.75,-53.5,35.94,0.79,0.01,0.5,-0.35,0.0,2.5,18.37,-19.06,2.5,18.37,-19.06,0.97,0.16,-0.17,-0.02
0.0,46.5,-53.38,33.19,46.5,-53.38,33.19,0.8,0.01,0.5,-0.34,0.0,1.94,16.94,-19.94,1.94,16.94,-19.94,0.97,0.16,-0.15,-0.02
0.0,45.81,-52.81,30.44,45.81,-52.81,30.44,0.81,0.02,0.48,-0.34,0.0,1.5,16.44,-20.69,1.5,16.44,-20.69,0.97,0.17,-0.15,-0.01
0.0,46.88,-51.38,26.75,46.88,-51.38,26.75,0.81,0.03,0.47,-0.35,0.0,1.94,16.25,-20.94,1.94,16.25,-20.94,0.97,0.17,-0.15,-0.02
0.0,46.38,-50.38,21.5,46.38,-50.38,21.5,0.82,0.05,0.45,-0.35,0.0,3.13,15.69,-19.12,3.13,15.69,-19.12,0.98,0.15,-0.14,-0.02
0.0,44.38,-45.88,14.0,44.38,-45.88,14.0,0.85,0.06,0.4,-0.35,0.0,3.25,14.13,-16.94,3.25,14.13,-16.94,0.98,0.14,-0.12,-0.02
0.0,45.06,-40.19,9.44,45.06,-40.19,9.44,0.86,0.07,0.34,-0.36,0.0,1.81,12.44,-16.37,1.81,12.44,-16.37,0.98,0.14,-0.11,-0.01
0.0,47.0,-37.88,8.25,47.0,-37.88,8.25,0.87,0.08,0.32,-0.38,0.0,0.94,11.5,-18.12,0.94,11.5,-18.12,0.98,0.15,-0.1,-0.01
0.0,46.81,-35.44,6.56,46.81,-35.44,6.56,0.88,0.08,0.29,-0.37,0.0,0.37,10.81,-20.37,0.37,10.81,-20.37,0.98,0.17,-0.1,-0.0
0.0,45.63,-32.0,4.75,45.63,-32.0,4.75,0.89,0.07,0.26,-0.38,0.0,359.88,10.38,-21.75,359.88,10.38,-21.75,0.98,0.19,-0.09,0.0
0.0,48.5,-29.44,4.63,48.5,-29.44,4.63,0.88,0.07,0.24,-0.41,0.0,359.81,10.13,-21.37,359.81,10.13,-21.37,0.98,0.18,-0.09,0.0
0.0,50.44,-27.25,5.63,50.44,-27.25,5.63,0.88,0.05,0.23,-0.41,0.0,358.44,10.5,-20.31,358.44,10.5,-20.31,0.98,0.18,-0.09,0.01
0.0,50.19,-24.81,7.31,50.19,-24.81,7.31,0.88,0.03,0.22,-0.41,0.0,357.25,10.19,-18.5,357.25,10.19,-18.5,0.98,0.15,-0.08,0.03
0.0,49.44,-23.25,9.5,49.44,-23.25,9.5,0.89,0.01,0.22,-0.41,0.0,355.25,8.81,-14.0,355.25,8.81,-14.0,0.99,0.11,-0.07,0.04
0.0,50.31,-23.5,12.19,50.31,-23.5,12.19,0.88,-0.01,0.23,-0.42,0.0,356.44,9.13,-10.94,356.44,9.13,-10.94,0.99,0.09,-0.08,0.02
0.0,51.31,-23.0,14.88,51.31,-23.0,14.88,0.88,-0.02,0.23,-0.42,0.0,358.5,11.94,-9.81,358.5,11.94,-9.81,0.99,0.08,-0.12,0.01
0.0,51.94,-22.12,18.12,51.94,-22.12,18.12,0.87,-0.06,0.25,-0.43,0.0,0.63,15.81,-8.31,0.63,15.81,-8.31,0.99,0.06,-0.15,-0.01
0.0,53.56,-22.87,23.81,53.56,-22.87,23.81,0.86,-0.08,0.27,-0.43,0.0,3.06,20.0,-7.31,3.06,20.0,-7.31,0.98,0.06,-0.19,-0.03
0.0,55.44,-24.25,27.69,55.44,-24.25,27.69,0.84,-0.1,0.3,-0.44,0.0,3.81,23.94,-7.69,3.81,23.94,-7.69,0.97,0.05,-0.22,-0.03
0.0,56.63,-24.0,28.81,56.63,-24.0,28.81,0.84,-0.1,0.3,-0.45,0.0,3.56,27.19,-5.63,3.56,27.19,-5.63,0.97,0.04,-0.24,-0.03
0.0,56.44,-23.56,30.37,56.44,-23.56,30.37,0.83,-0.12,0.31,-0.44,0.0,6.44,31.06,-2.5,6.44,31.06,-2.5,0.96,0.0,-0.27,-0.05
0.0,54.88,-24.5,34.31,54.88,-24.5,34.31,0.83,-0.15,0.33,-0.43,0.0,6.56,33.38,0.06,6.56,33.38,0.06,0.96,-0.02,-0.29,-0.06
0.0,56.25,-25.87,38.38,56.25,-25.87,38.38,0.81,-0.16,0.36,-0.44,0.0,5.94,34.13,1.69,5.94,34.13,1.69,0.95,-0.03,-0.3,-0.05
0.0,56.06,-27.12,40.69,56.06,-27.12,40.69,0.81,-0.16,0.37,-0.42,0.0,5.69,35.44,3.69,5.69,35.44,3.69,0.95,-0.05,-0.31,-0.05
0.0,54.0,-28.12,40.69,54.0,-28.12,40.69,0.81,-0.17,0.37,-0.41,0.0,5.06,36.88,5.31,5.06,36.88,5.31,0.95,-0.06,-0.32,-0.04
